Caption,Comments,Likes,URL
Textured blazer #zarawoman,399,48077,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241499282_581412186345907_3381500774030358445_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=ui-PvuCIlfkAX-IK6HR&edm=ALQROFkBAAAA&ccb=7-4&oh=0efa24a7c6f9bf9e4c2d1765131c0c24&oe=6164D574&_nc_sid=30a2ef&ig_cache_key=MjY1ODc1ODc4NDEwODAwMzgxNw%3D%3D.2-ccb7-4
New collection #zarawoman,386,45962,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241291560_852100265442334_6932402461376494371_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=hOSHuJz6e2AAX_8tykx&edm=ALQROFkBAAAA&ccb=7-4&oh=0a6ada9bc2c2e4c92b7d64462b1311a5&oe=6163FA2C&_nc_sid=30a2ef&ig_cache_key=MjY1ODI5MjI0NjEwNDIzMjczNQ%3D%3D.2-ccb7-4
Textured blazer #zarawoman,260,48768,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241563693_331085882039458_3550605568017577761_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=c8mEKMKPfxsAX8WQMlo&edm=ALQROFkBAAAA&ccb=7-4&oh=d6e28ea1e3e6895e28e01d2c4200d572&oe=61631991&_nc_sid=30a2ef&ig_cache_key=MjY1ODIxNjMzNDI1OTk4NTI2MQ%3D%3D.2-ccb7-4
"925// SILVER COLLECTION 
The new jewellery collection is sophisticated, delicate and minimal. 
Made in gold plated silver and reuterium decorated with zircons it is thought for the daily use elevating your looks #zarajewellery #zara",377,50223,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241314915_376517857300966_8478275974082909951_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=szEPS644HAcAX_nRwBv&edm=ALQROFkBAAAA&ccb=7-4&oh=ba09767942bbcc2a92cce89fa50d5f71&oe=6164C73C&_nc_sid=30a2ef&ig_cache_key=MjY1NjkwMDI4ODc0Mzc3OTM4OQ%3D%3D.2-ccb7-4
"925// SILVER COLLECTION 
The new jewellery collection is sophisticated, delicate and minimal. 
Made in gold plated silver and reuterium decorated with zircons it is thought for the daily use elevating your looks #zarajewellery #zara",303,64399,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241325112_431703704952465_7201539796429522798_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=Dp2vu71JV5cAX-U5MLu&edm=ALQROFkBAAAA&ccb=7-4&oh=2427f39a4b462a51406c7375339a61b0&oe=61631AE5&_nc_sid=30a2ef&ig_cache_key=MjY1NjgxMDYwNDM5MDg2NzA2NA%3D%3D.2-ccb7-4
"925// SILVER COLLECTION 
The new jewellery collection is sophisticated, delicate and minimal. 
Made in gold plated silver and reuterium decorated with zircons it is thought for the daily use elevating your looks #zarajewellery #zara",191,35018,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241432057_555828378870867_6422919077255010742_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=M-0CHZUd7IIAX8RglJc&edm=ALQROFkBAAAA&ccb=7-4&oh=1dd1a83b517df835eceac4880e699d6a&oe=6164B30E&_nc_sid=30a2ef&ig_cache_key=MjY1NjY1OTY5MTIwMjM1MjQwOA%3D%3D.2-ccb7-4
The rock collection @zaraman #zaraman #zara,456,48909,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241273713_132741145745452_8575574823826537762_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=nBcM1wMq03QAX9DJBJs&edm=ALQROFkBAAAA&ccb=7-4&oh=20f8c9bb7c961796e550309c8c84b967&oe=61632EB3&_nc_sid=30a2ef&ig_cache_key=MjY1NTQ3NTQzMTEwMzczNDExNQ%3D%3D.2-ccb7-4
The rock collection @zaraman #zaraman #zara,238,49519,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241176710_1212549492555414_3365592525606540891_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qHeTKtPi9G4AX9kiw6-&edm=ALQROFkBAAAA&ccb=7-4&oh=a36d80acaf121212b8f02c8a70c0021c&oe=61633D60&_nc_sid=30a2ef&ig_cache_key=MjY1NTM1MjkxMDk1NDA0Njk3NA%3D%3D.2-ccb7-4
The rock collection @zaraman #zaraman #zara,143,33280,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241314276_580476979984564_4204754657640426353_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=PbhdpkmCE_sAX9pJNS8&edm=ALQROFkBAAAA&ccb=7-4&oh=67ad12208baf5b3282864bf33eb6bfc1&oe=6163CB36&_nc_sid=30a2ef&ig_cache_key=MjY1NTE1NjQzMjIxNDAzMTcyNw%3D%3D.2-ccb7-4
Geometric vibe #zarawoman,375,76270,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/241093880_1604259776632574_7437965917085233066_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=wBK_Fu7sxh8AX_0YzxW&edm=ALQROFkBAAAA&ccb=7-4&oh=eb9fc2d83483ca90338c6b9428dcae04&oe=6163C7BD&_nc_sid=30a2ef&ig_cache_key=MjY1Mzk5MDk0MDc1MzQwODc3Ng%3D%3D.2-ccb7-4
